"日历名称","日程名称","开始时间","结束时间","日程描述","地点"
"Home","黄河骑行加采摘","2025-04-20 00:00","2025-04-20 23:59","",""
"Home","儿子九岁生日","2025-06-21 00:00","2025-06-21 23:59","",""
"Home","关税应对措施确认","2025-04-17 22:00","2025-04-17 23:00","",""
"Home","六月杭州出差：团队工作","2025-06-17 08:00","2025-06-17 09:00","",""
"Home","返程到家","2025-10-07 14:00","2025-10-07 15:00","",""
"Home","途中：夜宿泾阳县","2025-10-06 09:00","2025-10-06 10:00","",""
"Home","途中：夜宿山丹县","2025-10-05 09:00","2025-10-05 10:00","",""
"Home","途中：夜宿服务区","2025-10-04 09:00","2025-10-04 10:00","",""
"Home","十点半出发：开始返程","2025-10-04 09:00","2025-10-04 10:00","",""
"Home","库尔勒到农场","2025-10-03 09:00","2025-10-03 10:00","",""
"Home","和lx见面","2025-10-31 09:00","2025-10-31 10:00","",""
"Home","战略会第四场","2025-12-03 09:00","2025-12-03 10:00","",""
"Home","战略会第五场","2025-12-15 09:00","2025-12-15 10:00","",""
"Home","小团队聚餐","2025-12-30 18:00","2025-12-30 19:00","彬彬，刘超，志豪。志豪提前回登封，临走前一起吃个饭，预报明天有雨雪。",""
"Home","发技术总监 offer","2025-12-31 09:00","2025-12-31 10:00","老板在郑州，批完技术总监的 offer 后找我沟通。临回去前，九点多的飞机，五点左右较多，聊了半个小时，一是通知我定人了，二是了解我对于接下来有什么想法，三是看我的个人状态是否消极。",""
"日历","零跑4s店保养","2025-06-30 09:00","2025-06-30 10:00","",""
"日历","给老妈租房子","2025-06-22 09:00","2025-06-22 10:00","",""
"日历","股东会:分红、股权激励","2025-01-07 09:00","2025-01-07 10:00","",""
"日历","下午生病请假","2025-07-18 09:00","2025-07-18 10:00","",""
"日历","买电动车","2025-06-14 22:00","2025-06-14 23:00","",""
"日历","林芝松赞巴松措林卡酒店","2025-08-13 09:00","2025-08-13 10:00","",""
"日历","下午去杭州出差","2025-07-09 18:00","2025-07-09 19:00","",""
"日历","鸡山后山骑行","2025-06-15 22:00","2025-06-15 23:00","",""
"日历","贾鲁河烧烤","2025-05-18 08:00","2025-05-18 09:00","",""
"日历","14点返程郑州","2025-05-23 14:00","2025-05-23 19:00","",""
"日历","上街，鸿盛新城拿光猫","2025-04-26 17:00","2025-04-26 18:00","","鸿盛新城49号楼"
"日历","applepay支付通道三方异常","2025-04-16 13:00","2025-04-16 14:00","",""
"日历","小郭来郑","2025-04-18 23:00","2025-04-19 00:00","",""
"日历","山里蹲：康晖森林溪谷","2025-05-25 14:00","2025-05-25 18:00","",""
"日历","下午生病请假","2025-07-21 09:00","2025-07-21 10:00","",""
"日历","三年级送被子","2025-08-31 09:00","2025-08-31 10:00","",""
"日历","PayPal通道异常","2025-08-01 09:00","2025-08-01 10:00","",""
"日历","电动车到万亩桃园","2025-07-26 09:00","2025-07-26 10:00","",""
"日历","樱桃沟","2025-05-04 20:00","2025-05-04 21:00","","樱桃沟"
"日历","需求管理流程调整及落地","2025-04-23 19:00","2025-04-23 20:00","",""
"日历","郑州暴雨","2025-08-07 09:00","2025-08-07 10:00","",""
"日历","布达拉宫&大昭寺","2025-08-15 09:00","2025-08-15 10:00","",""
"日历","老板返郑：岗位招聘","2025-05-20 09:00","2025-05-20 10:00","",""
"日历","加拿大到郑州公司","2025-02-19 09:00","2025-02-19 10:00","",""
"日历","z加拿大英国内部竞聘","2025-05-16 13:00","2025-05-16 14:00","",""
